text,nutrient,pmid,label
"We tested these predictions by imaging fusion pore closure and amperometric recording of catecholamine release in chromaffin cells during high potassium application, the most used stimulation protocol for sub-quantal release study.",Potassium,40345438,0
These results suggest that sub-quantal release is not prevalent during high potassium application in adrenal chromaffin cells.,Potassium,40345438,0
"These memristor devices function similarly to potassium ion channels, displaying current growth and relaxation patterns that align with the Hodgkin-Huxley model, and as such are amenable to the development of artificial neuron structures.",Potassium,40345172,0
"The adsorption capacity of aged polyethylene decreases from 1.29 mg g(-1) to 0.76 mg g(-1) with Electron beam/Hydrogen peroxide system, and to 0.98 mg g(-1) with Electron beam/Potassium persulfate system.",Potassium,40345099,0
"Metal chalcogenides (MCs) have emerged as promising candidates for potassium ion battery (KIB) anode materials, yet the sluggish redox kinetics and notorious shuttle effect inescapability lead to inferior rate performance and poor cyclability.",Potassium,40344648,0
"As a result, the P-PbTe/MXene superstructure shows superior potassium storage properties, including high reversible capacity (289.1 mAh g(-1) at 0.2 A g(-1) after 200 cycles), outstanding rate performance (151.3 mAh g(-1) at 20 A g(-1)), and ultrastable cyclability (180.1 mA h g(-1) at 2.0 A g(-1) after 2000 cycles) in half battery.",Potassium,40344648,0
"For the management of A. porri four different plant activators (salicylic acid, benzoic acid, citric acid and di-potassium hydrogen phosphate) at three different concentrations (0.5, 0.75 and 1%) were evaluated under greenhouse and field conditions.",Potassium,40344004,0
The potassium channel TWIK-2 is crucial for ATP-induced activation of the NLRP3 inflammasome in macrophages.,Potassium,40343992,1
The channel is a member of the two-pore domain potassium (K2P) channel superfamily and an emerging therapeutic target to mitigate severe inflammatory injury involving NLRP3 activation.,Potassium,40343992,1
"K(Ca)3.1 is a calcium-activated potassium channel expressed in fibroblasts and has been implicated in mediating fibrosis, yet the putative interactions between glutaminolysis and K(Ca)3.1 in beta-AR-mediated cardiac fibrosis remain poorly understood.",Potassium,40343579,1
An elevated sodium-to-potassium (Na/K) ratio in urine increases the risk of hypertension.,Potassium,40343091,1
"Dl-PHPB [potassium 2-(1-hydroxypentyl) benzoate] demonstrates robust neuroprotective effects in preclinical models of Alzheimer's disease (AD), significantly ameliorating cognitive deficits and pathological hallmarks.",Potassium,40343003,1
"SHAP analysis identified the top five predictors of PPD: magnesium (Mg), remnant cholesterol (RC), calcium (Ca), mean corpuscular hemoglobin concentration (MCHc), and potassium (K).",Potassium,40340559,1
The incidence of arrhythmias increased when the lowest serum potassium concentration within 5 days after drug administration was below 3.94 mmol/L.,Potassium,40338117,1
"Clinicians should monitor at-risk patients when administering levosimendan. When using levosimendan in clinical practice, it is necessary to maintain a serum potassium concentration above 3.94 mmol/L.",Potassium,40338117,2
This study explores the potential of restoring astrocytic potassium (K+) uptake to reduce spasticity following spinal cord injury (SCI).,Potassium,40333399,1
Calcium- and voltage-gated potassium channels of large conductance (BK channels) in smooth muscle (SM) act as part of a negative feedback mechanism on SM contraction and associated decrease in cerebral artery diameter.,Potassium,40332464,1
"K(V)7.1 potassium channel inhibition, simulating long QT syndrome type-1 conditions, increased the risk of atrial CaT alternans, which was abolished by the activation of SK channels.",Potassium,40332126,1
"Intake of tuna and dark fish, ALA, and marine ω-3 PUFAs were not associated with risk of major CVD in women without history of CVD",ω-3,29350557,1
Supplementation with DHA decreased liver and visceral fat and enhanced metabolic abnormalities in children with nonalcoholic fatty liver disease,ω-3(DHA),29350557,1
Marine ω-3 PUFAs lowered the risk of heart failure.,ω-3,29350557,1
Treatment of acute MI with ω-3 resulted in a low rate of sudden cardiac death and other clinical events within 1 year of follow-up,ω-3,29350557,1
A treatment with ω-3 provided a small beneficial advantage in terms of mortality and admission to hospital for cardiovascular reasons in patients with heart failure,ω-3,29350557,1
"Dietary intake of fish and ω-3 PUFAs inversely correlated with cardiovascular mortality, especially for heart failure, suggesting a protective effect of fish intake on cardiovascular diseases Japanese men and women",ω-3,29350557,1
"ω-3 PUFAs, especially EPA, exhibited an effective treatment for prevention of major coronary events, including nonfatal coronary events, in Japanese hypercholesterolemic patients",ω-3,29350557,1
"High consumption of fish and ω-3 PUFAs was associated with a lower risk of CHD, especially CHD deaths in women",ω-3,29350557,1
Intake of fish and marine ω-3 PUFAs had health benefits in postmenopausal women free of cancer and CVD,ω-3,29350557,4
High concentration of ω-3 PUFAs in serum lipids associated with a significantly lower risk of death in both men and women with CHD,ω-3,29350557,1
Higher intake of DHA and EPA and possibly ALA might lower the risk of fatal IHD in older adults aged ≥65 years,"ω-3(DHA, EPA)",29350557,4
Dietary supplementation with ω-3 PUFAs exerted significant benefit in patients surviving recent (≤3 months) MI,ω-3,29350557,1
Insulin sensitivity was improved in type 2 diabetic patients supplemented with ω-3 PUFAs due to decreased levels of nonesterified FFA,ω-3,29350557,1
ω-3 PUFAs exerted a positive effect on glucose storage and oxidation in insulin- stimulated skeletal muscle that was not affected by total acylcarnitine accumulation in healthy men,ω-3,29350557,4
"ω-3 PUFA supplementation lowered levels of fasting plasma glucose, plasma lipids, metalloproteinases, and inflammatory parameters",ω-3,29350557,1
"DHA supplementation (3 g/day, 90 days) increased fasting plasma glucose concentration but did not affect other indices of insulin resistance based on fasting, such as postprandial insulin and glucose concentrations",ω-3(DHA),29350557,2
"Administration of ω-3 PUFAs (3.5 g/d, 8.9 weeks) lowered TAG and VLDL cholesterol levels but increased LDL level in type 2 diabetic individuals",ω-3,29350557,2
Intake of phosphatidylserine enriched with DHA (100 mg/day) could improve or maintain cognitive status in elderly subjects with memory complaints,ω-3(DHA),29350557,4
"Supplementation with DHA (800 mg/day) and lutein (12 mg/day) significantly improved verbal fluency scores, memory scores, and rate of learning in elderly women",ω-3(DHA),29350557,4
"Intake of fatty fish and marine ω-3 PUFAs reduced the risk of impaired cognitive function in this middle-aged population, whereas intake of cholesterol and saturated fat showed an increased risk",ω-3,29350557,4
"Supplementation with ω-3 for 12 weeks (1.4g EPA, 0.2g DHA, and 0.27g other ω-3 per day) increased blood levels substantially, more so in smaller children",ω-3,29350557,4
Supplementation with fish oil (1.4 g/day) to young depressive disorder patients revealed ω-3 PUFAs as a first-line therapy for major depressive disorder,ω-3,29350557,3
"Consumption of ω-3 PUFAs (2.5 g/day, 1.67 g EPA + 0.83 g DHA) efficiently ameliorated depressive symptoms and quality of life of depressed elderly female patients",ω-3,29350557,3
ω-3 PUFAs significantly improved depression in patients with clearly defined depression or with bipolar disorder,ω-3,29350557,1
Pregnant women supplemented with 800 mg of DHA daily followed up after 7 years showed strong evidence for the lack of benefit of prenatal DHA supplementation on IQ at 7 years and cognition at 18 months and 4 years,ω-3,29350557,3
"Prenatal folate supplementation during pregnancy, rather than fish oil or fish oil + 5-MTHF supplementation, improved children's ability to solve response conflicts after 8 years of follow up",ω-3,29350557,3
High ω-3 levels were associated with larger total normal brain volume and hippocampal volume in postmenopausal women measured 8 years later,ω-3,29350557,3
Dietary intake of EPA and DHA positively associated with global gray matter volume (not global white matter or total/regional brain volume) and increased global cognitive performance 5 years later in elderly humans,ω-3,29350557,4
Supplementation with DHA during pregnancy played a vital role in the maturation of the visual system,ω-3,29350557,3
Supplementation with fish oil capsules rich in DHA from week 15 of pregnancy until delivery was associated with the status of DHA in infants at term and early postnatal development and suggested that DHA status itself may influence maturation of the central visual pathways,ω-3,29350557,3
Supplementation with DHA (600 mg/day) from the first trimester until delivery effectively ameliorated the red cell membrane DHA anomaly in pregnant women with type 2 diabetes and neonates and prevented the decline of maternal DHA during pregnancy,ω-3,29350557,2
Supplementation with ω-3s (600 mg DHA/day) in the last half of gestation resulted in overall greater gestation duration and infant size,ω-3,29350557,2
Maternal fish oil (2.2 g DHA + 1.1 g EPA/day) supplementation from 20 weeks gestation until delivery could have potentially beneficial effects on the child's eye and hand coordination and is safe for the fetus and infant,ω-3,29350557,2
"On the basis of the most current information available, optimal calcium intake is estimated to be 400 mg/day (birth-6 months) to 600 mg/day (6-12 months) in infants; 800 mg/day in young children (1-5 years) and 800-1,200 mg/day for older children (6-10 years); 1,200-1,500 mg/day for adolescents and young adults (11-24 years); 1,000 mg/day for women between 25 and 50 years; 1,200-1,500 mg/day for pregnant or lactating women; and 1,000 mg/day for postmenopausal women on estrogen replacement therapy and 1,500 mg/day for postmenopausal women not on estrogen therapy.",Calcium,7599655,2
"Recommended daily intake for men is 1,000 mg/day (25-65 years).",Calcium,7599655,2
"For all women and men over 65, daily intake is recommended to be 1,500 mg/day, although further research is needed for this age group.",Calcium,7599655,2
"Calcium intake, up to a total intake of 2,000 mg/day, appears to be safe in most individuals.",Calcium,7599655,2
"Based on bone health, Recommended Dietary Allowances (RDAs; covering requirements of ≥97.5% of the population) for calcium range from 700 to 1300 mg/d for life-stage groups at least 1 yr of age.",Calcium,21118827,2
"The World Health Organization recommends a potassium intake of at least 3,510 mg per day for optimal cardiovascular health.",Potassium,36689973,2
The recommended daily intake of lutein is approximately 10.0 mg and that of zeaxanthin is 2 mg.,Lutein,35215476,2
The reference value for biotin intake for infants aged 0 to < 4 months was set at 4 µg/day and for infants aged 4 to < 12 months at 6 µg/day.,Biotin,34977958,2
"In children and adolescents, the reference values for biotin intake ranged from 20 µg/day in children 1 to < 4 years to 40 µg/day in youths 15 to < 19 years.",Biotin,34977958,2
"For adults including pregnant women, 40 µg/day was derived as reference value for biotin intake.",Biotin,34977958,2
"For lactating women, this value was set at 45 µg/day.",Biotin,34977958,2
The data demonstrated that pregnant women needed about twice iron than non-pregnant women. ,Iron,32336977,3
"Veganism is also associated with low intake of vitamins B2, Niacin (B3), B12, D, iodine, zinc, calcium, potassium, selenium.",Calcium,33341313,3
"Vitamin B12 intake among vegans is significantly lower (0.24-0.49 μg, recommendations are 2.4 μg) and calcium intake in the majority of vegans was below recommendations (750 mg/d).",Calcium,33341313,3
"The estimated values for potassium intake are set at 400 mg/day for breastfed infants aged 0 to under 4 months, 600 mg/day for infants aged 4 to under 12 months, 1,100-4,000 mg/day for children and adolescents, 4,000 mg/day for adults and pregnant women and 4,400 mg/day for lactating women.",Potassium,28803230,2
"However, according to various scientific sources, vegetarian and especially vegan diets often contain less saturated fats, protein, calcium, vitamins D and B12, or long-chain ω-3 PUFAs.",Calcium,34723727,3
"We observed a U-shaped relationship between 24-hour active and control arm differences in potassium excretion and BP levels, with weakening of the BP reduction effect above differences of 30 mmol/d and a BP increase above differences ≈80 mmol/d.",Potassium,32500831,1
aim: to investigate the effects of zinc-enriched spirulina supplementation (zss) on patients with copd.,zinc,39564630,3
"aluminum, boron, calcium, copper, iron, magnesium, manganese, molybdenum, phosphorus, potassium, sodium, and zinc: concentrations in common western foods and estimated daily intakes by infants; toddlers; and male and female adolescents, adults, and seniors in the united states.",zinc,11573761,4
"age, gender, number of acute diseases, use of psychoactive drugs, season of testing, and serum concentrations of calcium, parathyroid hormone, creatinine, albumin, tsh, vitamin b9 and vitamin b12 were used as potential confounders.",vitamin b12,33071932,3
[vitamin b12/b9 - possible treatment for mental fatigue].,vitamin b12,28696491,1
"amantadine, zinc, and crocus sativus extracts yield the potential to ameliorate depressive symptoms in patients with affective disorders.",zinc,39333460,3
these findings support the promotion of a balanced diet rich in vitamin b6.,vitamin b6,39508477,0
"furthermore, scanning electron microscopy (sem) and energy dispersion x-rays (edx) were used for examining the appearance and structure of the corroded zinc surface, respectively.",zinc,40109929,0
"and deficiency of zinc, magnesium and iron is related to the elevated blood lead level in the children aged 1-7 years.",zinc,21601238,4
"background: serum pyridoxal 5'-phosphate (plp), the active form of vitamin b6, is associated with reduced risk of pancreatic cancer.",vitamin b6,29734388,3
"female smokers had lower intake densities of thiamin, niacin, vitamin b6, folate, mg, na (p </= 0.05), protein, n-3 fatty acids, cholesterol, fe (p </= 0.01), vitamin b12 and se (p </= 0.001).",vitamin b6,22269176,4
"a middle-aged female with history of multinodular goiter, hashimoto disease, and chronic vitamin b12 deficiency presented with palpitations and subsequent exertional dyspnea.",vitamin b12,34695620,4
"a subgroup of children characterized by the prenatal metal-clique signature of zinc-chromium-cobalt had significantly increased depression scores; however, within that subgroup, children with a.muciniphila had much lower depression scores than those without a.muciniphila in the gm.",zinc,39640590,4
"in a double blind, randomized trial they received daily 2.5 mg folic acid, 25 mg vitamin b6, and 0.5mg vitamin b12 or placebo for 1 year.",vitamin b12,15939064,2
"after adjusting for vitamin b12 and iron levels, ethnicity, age and sex, the odds of being thin in the 10- to 19-year-old age group was 4.28-fold higher (95% ci 1.48-12.4) if they were h.",vitamin b12,27491384,4
"additionally, copper and zinc levels varied among trimesters.",zinc,39050426,0
[vitamin b12 deficiency in the elderly and its associations with geriatric syndromes].,vitamin b12,39575958,4
"intervention: participants received a daily capsule containing 40 mg of folic acid, 100 mg of pyridoxine hydrochloride (vitamin b6), and 2 mg of cyanocobalamin (vitamin b12) or a placebo.",vitamin b6,17848650,2
"no association was observed for insomnia, blood pressure, alcohol consumption, or serum vitamin b12, 25-hydroxyvitamin d and calcium levels.",vitamin b12,33655641,1
"methods and results: ninety patients undergoing coronary angiography were randomized into 4 groups administered oral: (1) folic acid (0.8 mg), vitamin b12 (0.4 mg), and vitamin b6 (40 mg); (2) folic acid and vitamin b12; (3) vitamin b6 alone; or (4) placebo.",vitamin b12,14699020,2
conclusion: dietary patterns may be associated with depression by changing the serum levels of folate and vitamin b12.,vitamin b12,32054533,1
in group b combination of sodium feredetate (containing 66 mg of elemental iron) along with vitamin b12 (15 microg) and folic acid (1.5 mg) was administered twice a day.,vitamin b12,17915799,2
methods: twenty-seven patients were enrolled at 1 of 5 pdx dose levels from 75 to 185 mg/m(2) on day 1 followed 24 hours later by 5-fu at a dose of 3000 mg/m(2) /48 hours every 2 weeks with folic acid and vitamin b12 supplementation.,vitamin b12,26242208,2
"[levels of calcium, magnesium, zinc, copper and iron in hair of children and adolescents].",zinc,9156918,4
"plasma vitamin b12 remained higher in the intervention group than in the control group 6 months postdelivery (by 0.30 sds (0.14, 0.46), p = 0.0003).",vitamin b12,38051700,0
"additionally, low plasma vitamin b12 concentrations were common in patients with cancer.",vitamin b12,36364737,3
"[the level of calcium, magnesium, zinc and copper in blood serum in children and young people between 5 and 18 years of age].",zinc,7761619,4
[the zinc status in patients with idiopathic scoliosis].,zinc,3394465,3
"children whose mothers were more educated, were less likely to have vitamin b1 (p<0.05) and vitamin b6 intakes below the ear (p < 0.05 for secondary school and p < 0.001 for college/university) and iron intake below the ai (p < 0.001).",vitamin b6,24400785,4
"additionally, infants and children with congenital heart defects often show disorders in folate metabolism (low folate, higher homocysteine, or low vitamin b12).",vitamin b12,31737547,4
"administration of vitamin b6 at doses of 1 and 1.5 g/day, for 2-7 weeks, showed that only the high doses increased erythrocyte magnesium.",vitamin b6,3959594,2
acupressure and vitamin b6 to relieve nausea and vomiting in pregnancy: a randomized study.,vitamin b6,17318558,3
"conclusions: in summary, a higher zinc concentration is causally associated with a reduced depression risk.",zinc,38863045,1
"elemental metals (iron, zinc, and magnesium) were also not found to be superior to placebo (smd: -0.42; 95% ci: -1.05 to 0.21), although vitamin d yielded a small to medium effect size improvement (smd: -0.52; 95% ci: -0.84 to -0.20) in postpartum depression.",zinc,37019362,1
"ag patients with macrocytosis also have significantly higher frequencies of blood hemoglobin and serum vitamin b12 deficiencies, hyperhomocysteinemia, and serum gpca positivity than ag patients.",vitamin b12,31324439,3
"intervention: participants received a daily capsule containing 40 mg of folic acid, 100 mg of pyridoxine hydrochloride (vitamin b6), and 2 mg of cyanocobalamin (vitamin b12) or a placebo.",vitamin b12,17848650,2
the nursing program combined with using zinc oxide products followed by petroleum jelly can prevent and decrease the severity of incontinence-associated dermatitis in older patients.,zinc,39081404,1
"[serum levels of copper, iron, magnesium, calcium and zinc in women with a normal menstrual cycle, under treatment with oral hormonal contraceptives and in pregnancy].",zinc,4678746,3
"after 8-10 days with daily administration of the chewable pleuran/vitamin d/zinc supplement, children exhibited a statistically significant increase in salivary siga concentrations compared with baseline (227??/-??11 microg/ml; p????.045).",zinc,40160261,4
methods: twenty two patients were included in this study and received 250 ml of mannitol 20% intravenous infusion for 5 days + vitamins b (vitamin b1 10 mg + vitamin b2 10 mg + vitamin b12 50 mug po) for 6 weeks.,vitamin b12,30412481,2
"amaranth or ceylon spinach/spider plant sauces, consumed with the cereal based paste ""to"" twice a day, would contribute 80 to 86% of children's estimated average requirement (ear) of iron and to 90 to 170% of ear of vitamin a but their contribution to zinc and energy needs would remain low.",zinc,25665504,4
"all children failed to meet the recommendation for vitamin d and considerable proportions had inadequate intakes of vitamin a, calcium, zinc, folate, and magnesium.",zinc,36615891,4
"the overconsumption of vitamin b6 has the potential to impact nerve function, particularly during the critical first trimester of embryonic development.",vitamin b6,39569767,0
in group a combination of sodium feredetate (containing 33 mg of elemental iron) along with vitamin b12 (15 microg) and folic acid (1.5 mg) was administered twice a day.,vitamin b12,17915799,2
"furthermore, vitamin c intake not exceeding 1500 mg/day plays a protective role as well as avoiding vitamin b6 deficiency and abstaining, if possible, from vitamin d supplements.",vitamin b6,22460996,2
"a new structure of zinc-citric acid organic metal framework (zn-ca mofs) is utilized to improve its drug loading rate, achieving the joint regulation of the nerve regeneration microenvironment by h(2)s and zn(2+).",zinc,40025980,3
the possible impact of zinc-enriched multivitamins on treatment-naive recurrent aphthous stomatitis patients.,zinc,39797342,1
"each patient was treated with oral high-doses 300 mg of vitamin b1, 450 mg of vitamin b6 and 1,500 mcg of vitamin b12, as add-on treatment to concomitant disease-modifying therapies (dmts) for consecutive 90 days.",vitamin b6,32669520,2
background: a low level of vitamin b6 may theoretically cause symptoms of depression.,vitamin b6,34912512,1
"a multicomponent food supplement with quercetin phytosome(r), zinc and vitamin c may be favorable in managing children with seasonal allergic rhinitis: a pilot study.",zinc,40080068,3
"participants received either efalex active 50+ (1g dha, 160 mg eicosapentaenoic acid, 240 mg ginkgo biloba, 60 mg phosphatidylserine, 20mg d-alpha tocopherol, 1mg folic acid, and 20 microg vitamin b12 per day; n = 15) or placebo (n = 12) for 6 months.",vitamin b12,26265727,2
"an overall healthy diet rich in vitamin b12, d or folate and fish oils may have positive effect also on depression.",vitamin b12,24881142,1
"additionally, depression was negatively associated with intake of fiber, beta-carotene, vitamin b6, vitamin e, vitamin c, potassium, zinc, folate, iron, and copper after adjusting for confounding variables.",vitamin b6,26324576,1
"on regression analysis, zinc had the strongest association with hemoglobin.",zinc,29804328,0
"q3 and q4 groups showed significantly higher level of the intake of vitamin d, vitamin b12, calcium, and folate than those of q1 and q2 groups.",vitamin b12,31468413,2
"these include agranulocytosis (0.6%), musculoskeletal and joint pains (15%), gastrointestinal complaints (6%) and zinc deficiency (1%).",zinc,11099897,1
"serum folate was measured by folate microbiological assay, while serum vitamin b12 was measured by immunochemiluminescence assay using a roche cobas e411 immunoassay analyzer.",vitamin b12,37083656,0
[retracted] zinc finger protein?�like 1 is a novel neuroendocrine biomarker for prostate cancer.,zinc,39917995,3
"low maternal vitamin b12 concentrations were associated with higher heart rates (decrease per 100 units: beta 0.49 beats/min, 95% ci 0.11, 0.87).",vitamin b12,26810674,0
"a clear caveat, however, is that vegan diets consumed spontaneously may induce suboptimal intakes of key nutrients, most notably quantity and/or quality of dietary protein and specific micronutrients (eg, iron, calcium, vitamin b12, and vitamin d).",vitamin b12,37127187,3
"after admission, additional intravenous arginine hydrochloride was administered for five days in the acute metabolic disorder phase, and persistent cocktail therapy was introduced, including coenzyme q10 (20 mg/d), carnitine (1 g/d) and vitamins (vitamin b1, vitamin b2, vitamin b6, and vitamin c).",vitamin b6,33126389,2
"in the patient group, the vitamin b12 and vitamin d levels were clearly low (p values for both levels were <.001), while homocysteine levels were found to be remarkably high (p < .001).",vitamin b12,32304285,0
"results: an increased weighed allele score for serum vitamin b12 was associated with decreased odds of a scl-90-r score above the 90th percentile (or 0.540 (95%ci 0.302-0.967)) in health2006 but not in inter99, in the pooled analysis (or 0.817 (95%ci 0.331-2.018)) or with other outcomes.",vitamin b12,28656970,0
"children with asds consumed significantly more vitamin b6 and e and non-dairy protein servings, less calcium, and fewer dairy servings (p < .05).",vitamin b6,18600441,4
"female patients showed a cold signal when taking vitamin c and vitamin b6 together compared to male patients (omega 0.025:0.89, lift: 7.15, conviction: 1.12).",vitamin b6,39845792,4
"no significant association was found between depression and plasma vitamin b12 (p=0.13), plasma methylmalonic acid (p=0.67), erythrocyte folate (p=0.77), and plasma total homocysteine (p=0.16).",vitamin b12,15479988,1
"the dual burden of obesity and malnutrition poses significant risks, including immune dysfunction, delayed wound healing, anemia, metabolic disturbances, and deficiencies in micronutrients such as vitamin d, iron, magnesium, and zinc, among others.",zinc,39439423,1
"antibiotics alone, without zinc or ors, were used by more children with dysentery than watery diarrhea (15% vs.",zinc,40321784,4
"at baseline, intakes of natural protein and estimated phenylalanine were high (66.4 g and 3318.5 mg, respectively) and intakes of calcium, magnesium, iron, zinc, iodine and vitamin d were below country-specific recommendations.",zinc,31480383,2
"conclusion: it can be said that fiber, total fat, saturated fatty acid, cholesterol and sodium intake of turkish adolescents are found to be high; however, their vitamin e, vitamin b6 and folate intake are found to be low compared to aha recommendations.",vitamin b6,15309435,4
"""cohort study to evaluate the effect of vitamin d, magnesium, and vitamin b12 in combination on progression to severe outcomes in older patients with coronavirus (covid-19)"" by tan et al.",vitamin b12,36175259,3
"after a 4-week supplementation period with 10 mg/day/kg mg, the plasma magnesium, copper, and zinc levels significantly increased in sedentary and training (90-120 min training 5 days a week) subjects when compared to nonsupplemented controls (p < 0.05).",zinc,17916932,2
high serum levels of methylmalonic acid (mma) have been identified in several studies as an early indicator of vitamin b12 deficiency.,vitamin b12,31740360,0
"although an immune signature of eoe was found in blood, untargeted metabolomics more efficiently discriminated children with eoe from control subjects, with dysregulation of vitamin b6 and various amino acids metabolisms.",vitamin b6,37006253,4
occupational and systemic contact dermatitis with photosensitivity due to vitamin b6.,vitamin b6,11217995,1
"age groups of 7 to 11 years had slightly elevated levels of these metals when compared with the groups below 7 and above 12 years, except that for females levels increased with age for zinc and decreased for magnesium.",zinc,2509752,4
"during a three years follow-up, an association between vitamin b12 blood levels and atopic dermatitis severity was detected, as well as a clinically significant scorad improvement following vitamin b12 oral supplementation.",vitamin b12,33342334,1
possible reasons for decreased vitamin b6 levels leading to status epilepticus are discussed.,vitamin b6,14692912,0
"2 mg of folic acid, 25 mg vitamin b6, and 400 microg of vitamin b12) in 52 patients diagnosed with migraine with aura.",vitamin b12,19384265,3
"malnourished and well-nourished patients both had lower intakes of sodium (366 mg, 524 mg respectively), potassium (1555 mg, 1963 mg), zinc (5 mg, 7 mg), calcium (645 mg, 710 mg), magnesium (161 mg, 172 mg), niacin (8 mg, 9 mg), folic acid (0.14 mg, 0.19 mg), and vitamin a (365 mug, 404 mug).",zinc,21804135,2
aims: to investigate the effect of vitamin b6 on the prevention of postpartum depression (ppd) among mothers at risk for ppd.,vitamin b6,34912512,1
"a statistically significant improvement was observed for body weight (difference between groups 2.2 kg, p=0.03), and homocysteine, vitamin b1, tdf, vitamin b6, vitamin b12, folate and vitamin d in the supplement group compared to the placebo group.",vitamin b12,11960300,4
"co-occurrence of anemia, marginal vitamin b6, and folate status and depressive symptoms in older adults.",vitamin b6,23124011,4
serum vitamin b12 concentrations were determined by chemiluminescence.,vitamin b12,26576959,0
"higher vitamin b12 intake were associated with lower risk of depression (odds ratio [or], 0.79; 95% ci, 0.63-0.98; p = 0.034) and behavioral problems (or, 0.83; 95% ci, 0.69-0.99; p = 0.04).",vitamin b12,37859436,1
"prevalence of depression in the population was 44%, and depressed women had lower intake levels of polyphenols (p=0.022; cohen's d=0.80), and vitamin b6 (p=0.038; cohen's d=0.65), vitamin a (p=0.044; cohen's d =0.63), and vitamin c (p=0.050; cohen's d =0.61).",vitamin b6,31555403,1
"absolute heme-iron absorption was higher in the group with higher zinc intakes, but only for those with the lowest heme-iron intake (2 mg; p = 0.0147).",zinc,17284743,2
